"ntTitle","ntDec","result","tDec","tTitle"
"Advances in diagnosis and treatment of pulmonary arterial hypertension in neonates and children with congenital heart disease","Exclude","",,
"Provider self-report and practice: reassessment and referral of emergency department patients with elevated blood pressure","Exclude","",,
"Cost-effectiveness of inhaled nitric oxide for the management of persistent pulmonary hypertension of the newborn","Exclude","","Exclude","Cost-effectiveness of inhaled nitric oxide for the management of persistent pulmonary hypertension of the newborn"
"Infradiagnosed complications of chronic diabetes mellitus: the value of systematic review in a single visit","Exclude","","Exclude","Infradiagnosed complications of chronic diabetes mellitus: the value of systematic review in a single visit"
"Recommendations on screening for high blood pressure in Canadian adults","Exclude","",,
"Meta-analysis of genome-wide scans for blood pressure in African American and Nigerian samples. The National Heart, Lung, and Blood Institute GeneLink Project","Exclude","","Exclude","Meta-analysis of genome-wide scans for blood pressure in African American and Nigerian samples. The National Heart, Lung, and Blood Institute GeneLink Project"
"Circadian heart rate and blood pressure variability considered for research and patient care","Exclude","",,
"Incidence of cardiovascular events in white-coat, masked and sustained hypertension versus true normotension: a meta-analysis","Exclude","","Exclude","Incidence of cardiovascular events in white-coat, masked and sustained hypertension versus true normotension: a meta-analysis"
"Questionnaire design and the recall of pharmacological treatments: a systematic review","Exclude","",,
"A review of the affects of worry and generalized anxiety disorder upon cardiovascular health and coronary heart disease","Exclude","",,
"Psoriasis and hypertension: a case-control study","Exclude","","Exclude","Psoriasis and hypertension: a case-control study"
"Rosuvastatin-induced arrest in progression of renal disease","Exclude","","Exclude","Rosuvastatin-induced arrest in progression of renal disease"
"Subclavian artery stenosis: prevalence, risk factors, and association with cardiovascular diseases","Exclude","","Exclude","Subclavian artery stenosis: prevalence, risk factors, and association with cardiovascular diseases"
"Nonpharmacological approaches in the management of hypertension","Exclude","",,
"Ambulatory blood pressure monitoring in type 2 diabetes and metabolic syndrome: a review","Exclude","","Exclude","Ambulatory blood pressure monitoring in type 2 diabetes and metabolic syndrome: a review"
"Clonidine as an adjuvant to intrathecal local anesthetics for surgery: systematic review of randomized trials","Exclude","",,
"Long term effects of dietary sodium reduction on cardiovascular disease outcomes: observational follow-up of the trials of hypertension prevention (TOHP)","Exclude","","Exclude","Long term effects of dietary sodium reduction on cardiovascular disease outcomes: observational follow-up of the trials of hypertension prevention (TOHP)"
"Clonidine premedication for postoperative analgesia in children","Exclude","",,
"Effect of adjustable gastric banding on changes in gastroesophageal reflux disease (GERD) and quality of life","Exclude","","Exclude","Effect of adjustable gastric banding on changes in gastroesophageal reflux disease (GERD) and quality of life"
"[Stroke--primary prophylaxis]","Exclude","",,
"Should angiotensin-converting enzyme inhibitors be used in all patients with coronary artery disease or restricted to those with a history of myocardial infarction or myocardial revascularization?","Exclude","",,
"Impact of disease states on the pharmacokinetics and pharmacodynamics of angiotensin-converting enzyme inhibitors","Exclude","",,
"Comparison of the lipid-modifying efficacy and safety profiles of ezetimibe coadministered with simvastatin in older versus younger patients with primary hypercholesterolemia: a post Hoc analysis of subpopulations from three pooled clinical trials","Exclude","",,
"Acute intestinal obstruction due to gallstone ileus","Exclude","",,
"Current role of portosystemic shunt surgery in the management of hepatic venous outflow obstruction","Exclude","",,
"Can we really accelerate and enhance the selective serotonin reuptake inhibitor antidepressant effect? A randomized clinical trial and a meta-analysis of pindolol in nonresistant depression","Exclude","",,
"Genetic polymorphisms related to the renin-angiotensin-aldosterone system and response to antihypertensive drugs","Exclude","",,
"Rational intraabdominal pressure monitoring: how to do it?","Exclude","",,
"Beneficial effects of extended-release doxazosin and doxazosin standard on sexual health","Exclude","","Exclude","Beneficial effects of extended-release doxazosin and doxazosin standard on sexual health"
"The secondary and recurrent abdominal compartment syndrome","Exclude","",,
"Continuous intra-abdominal pressure monitoring","Exclude","",,
"What is normal intra-abdominal pressure and how is it affected by positioning, body mass and positive end-expiratory pressure?","Exclude","",,
"Albuminuria and blood pressure, independent targets for cardioprotective therapy in patients with diabetes and nephropathy: a post hoc analysis of the combined RENAAL and IDNT trials","Exclude","","Exclude","Albuminuria and blood pressure, independent targets for cardioprotective therapy in patients with diabetes and nephropathy: a post hoc analysis of the combined RENAAL and IDNT trials"
"Premorbid (early life) IQ and later mortality risk: systematic review","Exclude","","Exclude","Premorbid (early life) IQ and later mortality risk: systematic review"
"Physicians, patients, and public knowledge and perception regarding hypertension and stroke: a review of survey studies","Exclude","",,
"Intra-abdominal hypertension in the critically ill: it is time to pay attention","Exclude","",,
"Stroke in South America: a systematic review of incidence, prevalence, and stroke subtypes","Exclude","","Exclude","Stroke in South America: a systematic review of incidence, prevalence, and stroke subtypes"
"Retinal vein occlusion: a form of venous thrombosis or a complication of atherosclerosis? A meta-analysis of thrombophilic factors","Exclude","","Exclude","Retinal vein occlusion: a form of venous thrombosis or a complication of atherosclerosis? A meta-analysis of thrombophilic factors"
"Acute generalized exanthematous pustulosis: report of five cases and systematic review of clinical and histopathological findings","Exclude","","Exclude","Acute generalized exanthematous pustulosis: report of five cases and systematic review of clinical and histopathological findings"
"The clinical efficacy and tolerability of doxazosin standard and gastrointestinal therapeutic system for benign prostatic hyperplasia","Exclude","","Exclude","The clinical efficacy and tolerability of doxazosin standard and gastrointestinal therapeutic system for benign prostatic hyperplasia"
"Daily administration of phosphodiesterase type 5 inhibitors for urological and nonurological indications","Exclude","",,
"Cardiovascular pharmacotherapy and herbal medicines: the risk of drug interaction","Exclude","",,
"Cardiovascular risk in subjects with left ventricular concentric remodeling at baseline examination: a meta-analysis","Exclude","","Exclude","Cardiovascular risk in subjects with left ventricular concentric remodeling at baseline examination: a meta-analysis"
"Treatment of hypertension with olmesartan medoxomil, alone and in combination with a diuretic: an update","Exclude","",,
